"game_str","play_id","timestamp_catch","timestamp_hit","player_position","field_x_catch","field_y_catch","field_x_hit","field_y_hit","straight_distance","hit_timestamp_sec","catch_timestamp_sec","time_difference_sec","average_speed_fps","move_x","move_y","bounce_dist_from_kmeanstart","out"
"1903_01_TeamNE_TeamA2",109,3399690,3395103,8,-14.4306,315.2118,-3.8403,313.0773,10.8032654480023,3395.103,3399.69,4.58699999999999,2.35519194419061,-10.5903,2.1345,14.4063831546992,1
"1903_01_TeamNE_TeamA2",134,4384773,4380648,8,-4.2534,309.9669,-3.6678,316.7676,6.82586608790416,4380.648,4384.773,4.125,1.65475541524949,-0.5856,-6.80070000000001,3.25356837487704,1
"1903_01_TeamNE_TeamA2",162,5422130,5417807,8,-17.2191,306.4386,-10.9491,312.3093,8.58941316330749,5417.807,5422.13,4.32300000000032,1.98691028528958,-6.27,-5.8707,16.6055043515697,1
"1903_01_TeamNE_TeamA2",178,5823938,5819945,8,26.346,315.8373,22.9863,322.5774,7.53103791651588,5819.945,5823.938,3.99300000000039,1.88606008427627,3.3597,-6.74009999999998,27.9620776640435,1
"1903_01_TeamNE_TeamA2",206,6692598,6689826,8,-14.0355,297.1593,-13.0578,300.474,3.4558838782575,6689.826,6692.598,2.77199999999993,1.24671135579278,-0.9777,-3.31470000000002,18.2977549644759,1
"1903_01_TeamNE_TeamA2",242,7915084,7911289,8,-15.7302,301.4559,-17.9535,303.2784,2.87481636630933,7911.289,7915.084,3.79500000000007,0.757527369251455,2.2233,-1.82249999999999,17.0288119623772,1
"1903_01_TeamNE_TeamA2",244,8012236,8006791,8,6.8874,311.6163,17.6961,311.5749,10.8087792858398,8006.791,8012.236,5.44499999999971,1.98508343174296,-10.8087,0.0414000000000101,8.0513045185237,1
"1903_01_TeamNE_TeamA2",249,8143609,8137900,8,26.8803,330.3471,-9.7491,314.9418,39.7370886257411,8137.9,8143.609,5.70900000000074,6.96042890624206,36.6294,15.4053,34.5154401174315,1
"1903_01_TeamNE_TeamA2",269,8918351,8913731,8,5.3139,304.5612,10.8045,307.6233,6.28674357437934,8913.731,8918.351,4.6200000000008,1.36076700744118,-5.4906,-3.06209999999999,8.33341938522238,1
"1903_01_TeamNE_TeamA2",282,9352796,9347747,8,39.7287,310.4544,21.5019,301.668,20.2340570128682,9347.747,9352.796,5.04900000000089,4.00753753473255,18.2268,8.78640000000001,40.7312347351514,1
"1903_01_TeamNE_TeamA2",287,9513771,9508986,8,17.973,317.7411,16.4898,310.1862,7.69911658893411,9508.986,9513.771,4.78499999999985,1.60901078138649,1.4832,7.55490000000003,20.4914459765532,1
"1903_01_TeamNE_TeamA2",294,9812025,9807933,8,-12.8553,312.3072,-7.4451,313.4097,5.52139206088464,9807.933,9812.025,4.09199999999873,1.34931379787056,-5.4102,-1.10249999999996,12.0777195666235,1
"1903_01_TeamNE_TeamA2",60,1784272,1781104,8,20.6937,307.2711,20.577,311.7285,4.4589274102636,1781.104,1784.272,3.16799999999989,1.40748971283578,0.116699999999998,-4.45740000000001,21.8646636127794,1
"1903_01_TeamNE_TeamA2",69,2009662,2004547,8,28.4109,281.1588,13.158,306.8163,29.848924011763,2004.547,2009.662,5.11500000000001,5.83556676671807,15.2529,-25.6575,41.1924247435132,1
"1903_01_TeamNE_TeamA2",79,2400746,2394443,8,-16.4382,292.1505,-5.7495,313.7358,24.0867906492334,2394.443,2400.746,6.30299999999988,3.82148035050513,-10.6887,-21.5853,23.5996328253217,1
"1903_02_TeamNE_TeamA2",124,5047187,5043137,8,-69.5739,313.3272,-19.4127,302.7336,51.2676344919482,5043.137,5047.187,4.05000000000018,12.6586751831965,-50.1612,10.5936,68.654570285233,1
"1903_02_TeamNE_TeamA2",19,487975,484475,8,-60.5859,292.8942,-25.9998,320.9535,44.5367559404589,484.475,487.975,3.5,12.7247874115597,-34.5861,-28.0593,61.9926436962483,1
"1903_02_TeamNE_TeamA2",192,7372937,7369387,8,68.3823,325.6533,15.7671,300.5301,58.305526747299,7369.387,7372.937,3.55000000000018,16.4240920414918,52.6152,25.1232,71.12615098668,1
"1903_02_TeamNE_TeamA2",20,534475,531575,8,-37.3968,277.7133,-23.1219,308.9214,34.3179002216045,531.575,534.475,2.89999999999998,11.8337586971051,-14.2749,-31.2081,48.6534484608234,1
"1903_02_TeamNE_TeamA2",56,1959741,1953991,8,-8.997,235.3008,31.5792,318.4734,92.5424734767771,1953.991,1959.741,5.75,16.0943432133525,-40.5762,-83.1726,75.1260440169719,1
"1903_02_TeamNE_TeamA2",84,3625937,3620837,8,100.632,351.2283,17.9649,311.1096,91.8877549627805,3620.837,3625.937,5.09999999999991,18.0172068554475,82.6671,40.1187,109.676050917646,0
"1903_02_TeamNE_TeamA2",99,4162137,4156837,8,19.3848,249.798,31.2813,289.0626,41.0272534470685,4156.837,4162.137,5.29999999999927,7.74099121642909,-11.8965,-39.2646,63.5595852333855,1
